topic,document_count,valence_mean,valence_median,valence_std,arousal_mean,arousal_median,arousal_std,dominance_mean,dominance_median,dominance_std
agriculture,2,2.601788878440857,2.601788878440857,0.1379019021987915,3.0578911304473877,3.0578911304473877,0.007803678512573242,2.8726502656936646,2.8726502656936646,0.07917678356170654
animals,2,2.3562499284744263,2.3562499284744263,0.33927714824676514,3.1800485849380493,3.1800485849380493,0.07823193073272705,2.7547894716262817,2.7547894716262817,0.13474738597869873
community,2,2.731034994125366,2.731034994125366,0.12059545516967773,3.0350093841552734,3.0350093841552734,0.004044055938720703,2.8169394731521606,2.8169394731521606,0.03685104846954346
culture,2,2.8338409662246704,2.8338409662246704,0.3031378984451294,3.2074432373046875,3.2074432373046875,0.05985140800476074,2.8887553215026855,2.8887553215026855,0.07846212387084961
economy,2,2.3155691623687744,2.3155691623687744,0.2077805995941162,3.2660826444625854,3.2660826444625854,0.012637495994567871,2.822922110557556,2.822922110557556,0.04022777080535889
education,2,2.613107204437256,2.613107204437256,0.23217344284057617,3.170148491859436,3.170148491859436,0.024658799171447754,2.8437745571136475,2.8437745571136475,0.08987879753112793
energy,2,2.5825430154800415,2.5825430154800415,0.17591607570648193,3.0152965784072876,3.0152965784072876,0.032723069190979004,2.8792736530303955,2.8792736530303955,0.1827106475830078
environment,2,2.614420533180237,2.614420533180237,0.23751294612884521,3.1612627506256104,3.1612627506256104,0.08253192901611328,2.740133762359619,2.740133762359619,0.0869436264038086
food,2,2.7395849227905273,2.7395849227905273,0.27115345001220703,3.0498443841934204,3.0498443841934204,0.0007051229476928711,3.0370349884033203,3.0370349884033203,0.021312713623046875
health,2,2.776935577392578,2.776935577392578,0.05991482734680176,3.151386857032776,3.151386857032776,0.07120645046234131,2.9974524974823,2.9974524974823,0.03351187705993652
housing,2,2.653186082839966,2.653186082839966,0.13321661949157715,2.996544361114502,2.996544361114502,0.06871604919433594,2.8756792545318604,2.8756792545318604,0.0547330379486084
justice,2,2.8164010047912598,2.8164010047912598,0.2512319087982178,3.0478979349136353,3.0478979349136353,0.0782402753829956,2.8874502182006836,2.8874502182006836,0.07822299003601074
politics,2,2.7547762393951416,2.7547762393951416,0.11215901374816895,3.090049982070923,3.090049982070923,0.1358640193939209,2.983210802078247,2.983210802078247,0.025132417678833008
public_safety,2,2.6142210960388184,2.6142210960388184,0.18613529205322266,3.3421623706817627,3.3421623706817627,0.08120560646057129,2.932813286781311,2.932813286781311,0.14765751361846924
science,2,2.9882408380508423,2.9882408380508423,0.29229748249053955,3.04512882232666,3.04512882232666,0.03499794006347656,2.925158143043518,2.925158143043518,0.09847080707550049
sports,2,2.6492048501968384,2.6492048501968384,0.1795262098312378,3.1249032020568848,3.1249032020568848,0.015899658203125,2.876540184020996,2.876540184020996,0.01955127716064453
technology,2,2.7352075576782227,2.7352075576782227,0.279874324798584,3.1303954124450684,3.1303954124450684,0.027074337005615234,2.8037229776382446,2.8037229776382446,0.036076903343200684
tourism,2,2.8511924743652344,2.8511924743652344,0.2509591579437256,3.192170739173889,3.192170739173889,0.10203087329864502,2.8768447637557983,2.8768447637557983,0.07312047481536865
transport,2,2.6043437719345093,2.6043437719345093,0.2522014379501343,3.2049942016601562,3.2049942016601562,0.07352066040039062,2.8787307739257812,2.8787307739257812,0.10615921020507812
weather,2,2.4742279052734375,2.4742279052734375,0.07810354232788086,3.229599952697754,3.229599952697754,0.0062198638916015625,2.7080466747283936,2.7080466747283936,0.017493009567260742
