sample_stratum,domain_label,count
business,business_and_economy,139
business,government_and_public_policy,23
business,international_affairs,10
business,environment,8
business,science_and_technology,6
business,health,5
business,education,4
business,culture_and_entertainment,2
business,sports,2
business,crime_and_justice,1
crime,crime_and_justice,89
crime,government_and_public_policy,16
crime,international_affairs,11
crime,business_and_economy,6
crime,other,6
crime,health,5
crime,culture_and_entertainment,1
crime,environment,1
crime,science_and_technology,1
domestic,government_and_public_policy,7
domestic,international_affairs,6
domestic,culture_and_entertainment,2
domestic,other,2
domestic,sports,2
domestic,crime_and_justice,1
domestic,health,1
education,education,13
education,science_and_technology,1
education,sports,1
entertainment,culture_and_entertainment,74
entertainment,sports,11
entertainment,crime_and_justice,3
entertainment,business_and_economy,2
entertainment,government_and_public_policy,2
entertainment,health,2
entertainment,other,2
environment,environment,14
environment,science_and_technology,6
environment,government_and_public_policy,4
environment,health,3
environment,business_and_economy,1
environment,education,1
environment,other,1
food,business_and_economy,2
food,culture_and_entertainment,1
food,health,1
food,other,1
health,health,12
health,business_and_economy,5
health,government_and_public_policy,1
health,sports,1
lifestyle,business_and_economy,13
lifestyle,culture_and_entertainment,13
lifestyle,education,7
lifestyle,other,7
lifestyle,health,4
lifestyle,international_affairs,4
lifestyle,crime_and_justice,2
lifestyle,government_and_public_policy,1
lifestyle,science_and_technology,1
lifestyle,sports,1
politics,government_and_public_policy,60
politics,international_affairs,35
politics,crime_and_justice,17
politics,other,12
politics,business_and_economy,8
politics,culture_and_entertainment,8
politics,health,2
politics,sports,2
politics,education,1
politics,environment,1
science,science_and_technology,3
science,business_and_economy,1
science,education,1
science,health,1
sports,sports,124
sports,culture_and_entertainment,6
sports,business_and_economy,4
sports,crime_and_justice,3
sports,government_and_public_policy,3
sports,health,2
sports,education,1
sports,environment,1
sports,international_affairs,1
technology,science_and_technology,25
technology,business_and_economy,16
technology,government_and_public_policy,9
technology,crime_and_justice,2
technology,environment,1
technology,international_affairs,1
technology,sports,1
tourism,culture_and_entertainment,4
tourism,other,4
tourism,business_and_economy,1
tourism,environment,1
tourism,government_and_public_policy,1
unlabeled,business_and_economy,9
unlabeled,crime_and_justice,9
unlabeled,culture_and_entertainment,3
unlabeled,international_affairs,3
unlabeled,environment,2
unlabeled,government_and_public_policy,2
unlabeled,other,2
unlabeled,health,1
unlabeled,science_and_technology,1
world,government_and_public_policy,10
world,international_affairs,8
world,business_and_economy,3
world,crime_and_justice,3
world,health,3
world,culture_and_entertainment,2
world,sports,1
