sample_stratum,domain_label,count
business,business_and_economy,140
business,government_and_public_policy,27
business,international_affairs,9
business,education,5
business,science_and_technology,5
business,environment,3
business,health,3
business,culture_and_entertainment,1
business,energy?,1
crime,crime_and_justice,88
crime,accidents_and_emergencies,14
crime,government_and_public_policy,9
crime,business_and_economy,6
crime,other,6
crime,international_affairs,5
crime,health,3
crime,culture_and_entertainment,2
crime,science_and_technology,2
crime,sports,1
domestic,international_affairs,6
domestic,government_and_public_policy,5
domestic,accidents_and_emergencies,2
domestic,business_and_economy,2
domestic,crime_and_justice,2
domestic,sports,2
domestic,culture_and_entertainment,1
education,education,10
education,business_and_economy,2
education,sports,2
education,science_and_technology,1
entertainment,culture_and_entertainment,75
entertainment,sports,11
entertainment,crime_and_justice,3
entertainment,government_and_public_policy,2
entertainment,health,2
entertainment,accidents_and_emergencies,1
entertainment,business_and_economy,1
environment,environment,13
environment,health,5
environment,science_and_technology,5
environment,government_and_public_policy,4
environment,accidents_and_emergencies,2
environment,education,1
environment,other,1
food,culture_and_entertainment,3
food,business_and_economy,1
food,other,1
health,health,14
health,business_and_economy,4
health,accidents_and_emergencies,1
health,government_and_public_policy,1
lifestyle,business_and_economy,14
lifestyle,culture_and_entertainment,14
lifestyle,education,9
lifestyle,government_and_public_policy,3
lifestyle,health,3
lifestyle,sports,3
lifestyle,international_affairs,2
lifestyle,other,2
lifestyle,crime_and_justice,1
lifestyle,environment,1
lifestyle,social_and_civic issues,1
nan,other,1
politics,government_and_public_policy,57
politics,international_affairs,52
politics,crime_and_justice,20
politics,business_and_economy,7
politics,culture_and_entertainment,4
politics,education,3
politics,health,2
politics,other,2
politics,science_and_technology,1
science,science_and_technology,3
science,health,2
science,business_and_economy,1
science,education,1
sports,sports,125
sports,culture_and_entertainment,9
sports,crime_and_justice,5
sports,business_and_economy,4
sports,environment,1
sports,government_and_public_policy,1
sports,international_affairs,1
technology,science_and_technology,30
technology,business_and_economy,14
technology,government_and_public_policy,4
technology,crime_and_justice,3
technology,culture_and_entertainment,2
technology,international_affairs,1
technology,sports,1
tourism,culture_and_entertainment,7
tourism,business_and_economy,1
tourism,environment,1
tourism,government_and_public_policy,1
tourism,other,1
unlabeled,business_and_economy,8
unlabeled,culture_and_entertainment,6
unlabeled,crime_and_justice,4
unlabeled,accidents_and_emergencies,2
unlabeled,environment,2
unlabeled,government_and_public_policy,2
unlabeled,health,2
unlabeled,other,2
unlabeled,education,1
unlabeled,international_affairs,1
unlabeled,science_and_technology,1
unlabeled,sports,1
world,government_and_public_policy,9
world,international_affairs,8
world,business_and_economy,4
world,health,3
world,crime_and_justice,2
world,culture_and_entertainment,2
world,accidents_and_emergencies,1
world,science_and_technology,1
world,sports,1
