workflow_row_id,stdi_vs_original,theme_drift_vs_original,subtopic_drift_vs_original,entity_drift_vs_original,relation_drift_vs_original,contradiction_drift_vs_original,vad_drift_vs_original,content_drift_vs_original,valence_drift_vs_original,arousal_drift_vs_original,dominance_drift_vs_original,subtopic_count_delta,entity_count_delta,relation_count_delta,word_count_ratio,verification_status
ae8386b2294f07904f508d9e0e5b015b4052292e13283b1401d738963ad79dc3,0.978054,1.0,1.0,0.888889,1.0,0.0,0.062051,0.977778,0.059654,0.068569,0.057931,0,-2,-1,0.09126984126984126,unverified_generated
57de1c35eeaf78e0ee04e115f1d87f8fba681a76d091094268c376b7f89088df,0.900357,1.0,1.0,0.5,1.0,0.0,0.017867,0.9,0.024382,0.016393,0.012827,1,0,1,0.8765822784810127,unverified_generated
343cbf2635cc1a873ab54ad345608d43ddecb8829a08533efc2cca8c27b721d9,0.925829,1.0,1.0,0.625,1.0,0.0,0.055265,0.925,0.038167,0.097632,0.029996,0,-1,0,0.5336617405582923,unverified_generated
de027f7b80fd662e9623673b49ab5720721d01feebc6185b99f11a6512627817,0.67622,0.0,1.0,0.375,1.0,0.0,0.018764,0.675,0.008068,0.021862,0.026363,1,-1,0,0.7383966244725738,unverified_generated
946850ab46d1f7203924f22ba2edd33ab5bf5bac408a208c22a3eb9ec2382584,0.932119,1.0,1.0,0.6,1.0,0.75,0.008763,0.92,0.007715,0.007194,0.011381,1,0,-1,0.7559241706161137,unverified_generated
4da865964f0d3ddad686916e3bbd1e06a5d7ad5abf1547296ada40c85099e2eb,0.98316,1.0,1.0,0.9,1.0,0.75,0.047002,0.98,0.054506,0.046924,0.039577,-1,1,0,0.7547169811320755,unverified_generated
d3ea89f4ccd5ab444a081e5a202c57d177d96c1df7dfa0081feec109780c395e,0.911656,1.0,1.0,0.555556,1.0,0.0,0.030635,0.911111,0.012988,0.057424,0.021494,0,-1,-1,0.29315068493150687,unverified_generated
ee10b5fd992fdf9a8c4ca73dbf47bb8269d1a0a2ed170dc3dbd4432e7e34b415,0.880961,1.0,0.888889,0.444444,1.0,0.5,0.040021,0.866667,0.024827,0.063408,0.031829,0,0,0,0.6563307493540051,unverified_generated
84e84b9ceaf5eb287889945b4c836fab745c76c7a79a660b1ae97f59a1f585fe,0.943265,1.0,1.0,0.714286,1.0,0.0,0.035696,0.942857,0.024353,0.071486,0.011249,-1,-2,0,0.375,unverified_generated
10acad1cf0239a9dd609adfe1b8fcbb463d369b2df9ced3f9270cdb45b5f7f9f,0.94401,1.0,1.0,0.714286,1.0,0.0,0.100886,0.942857,0.153153,0.145128,0.004378,0,-1,0,0.6767676767676768,unverified_generated
