pair_id,llm_semantic_theme_drift,llm_semantic_subtopic_drift,llm_semantic_entity_drift,llm_semantic_relation_drift,llm_semantic_content_drift,llm_semantic_stdi,cluster_theme_drift,cluster_subtopic_drift,cluster_entity_drift,cluster_relation_drift,cluster_content_drift,cluster_stdi,delta_theme_drift,delta_subtopic_drift,delta_entity_drift,delta_relation_drift,delta_content_drift,delta_stdi
manual_stdi_001,0.0,0.25,0.0,0.0,0.05,0.0975,0.22,0.622943,0.142715,0.289826,0.313062,0.313062,0.22,0.372943,0.142715,0.289826,0.263062,0.215562
manual_stdi_002,0.0,0.25,0.25,0.25,0.2,0.2,0.067852,0.366718,0.256424,0.055978,0.16059,0.16059,0.067852,0.11671799999999999,0.006423999999999985,-0.194022,-0.03941,-0.03941
manual_stdi_003,0.25,0.25,0.5,0.5,0.4,0.4,1.0,0.193469,0.24213,0.167848,0.354259,0.354259,0.75,-0.056531,-0.25787,-0.332152,-0.04574100000000003,-0.04574100000000003
manual_stdi_004,0.0,0.25,0.25,0.25,0.2,0.2,0.070262,0.371152,0.437579,0.203391,0.257155,0.257155,0.070262,0.12115199999999998,0.187579,-0.04660900000000001,0.05715500000000001,0.05715500000000001
manual_stdi_005,0.0,0.25,0.0,0.5,0.25,0.25,0.035378,0.0,0.0,0.397514,0.166081,0.166081,0.035378,-0.25,0.0,-0.10248600000000002,-0.083919,-0.083919
manual_stdi_006,0.0,0.25,0.25,0.25,0.2,0.2,0.340455,0.505322,0.233056,0.385473,0.369956,0.369956,0.340455,0.25532200000000005,-0.016943999999999987,0.135473,0.169956,0.169956
manual_stdi_007,0.0,0.5,0.0,0.25,0.2,0.2,0.116349,0.078893,0.153846,0.120527,0.118028,0.118028,0.116349,-0.421107,0.153846,-0.129473,-0.08197200000000002,-0.08197200000000002
manual_stdi_008,0.0,0.5,0.0,0.5,0.3,0.3,0.064728,0.255771,0.070783,0.415017,0.244263,0.244263,0.064728,-0.24422899999999997,0.070783,-0.08498299999999998,-0.05573699999999998,-0.05573699999999998
manual_stdi_009,0.25,0.25,0.0,0.5,0.3,0.405,0.140873,0.527881,0.090909,0.491564,0.348558,0.348558,-0.109127,0.27788100000000004,0.090909,-0.008435999999999999,0.04855799999999999,-0.05644200000000005
manual_stdi_010,0.0,0.25,0.0,0.25,0.15,0.15,0.0,0.12044,0.0,0.063521,0.049496,0.049496,0.0,-0.12956,0.0,-0.186479,-0.100504,-0.100504
manual_stdi_011,0.25,0.75,0.0,0.5,0.4,0.4,1.0,0.643936,0.0,0.161602,0.393428,0.393428,0.75,-0.10606400000000005,0.0,-0.338398,-0.006572000000000022,-0.006572000000000022
manual_stdi_012,0.0,0.5,0.0,0.25,0.2,0.28,0.0,0.433089,0.115844,0.233149,0.203046,0.203046,0.0,-0.066911,0.115844,-0.016851000000000005,0.003045999999999993,-0.07695400000000002
manual_stdi_013,0.0,0.5,0.0,0.75,0.4,0.49,0.026827,0.383615,0.0,0.214681,0.167961,0.167961,0.026827,-0.11638500000000002,0.0,-0.535319,-0.23203900000000002,-0.32203899999999996
manual_stdi_014,0.0,0.25,0.0,0.25,0.15,0.15,0.009036,0.435623,0.166667,0.123136,0.17152,0.17152,0.009036,0.18562299999999998,0.166667,-0.126864,0.02152000000000001,0.02152000000000001
manual_stdi_015,0.75,1.0,0.75,0.75,0.8,0.83,1.0,0.642183,0.321893,0.561588,0.61745,0.61745,0.25,-0.35781700000000005,-0.428107,-0.18841200000000002,-0.18255,-0.2125499999999999
manual_stdi_016,0.0,0.25,0.0,0.25,0.15,0.15,0.183406,0.493258,0.125,0.249906,0.260295,0.260295,0.183406,0.24325799999999997,0.125,-9.400000000001074e-05,0.110295,0.110295
manual_stdi_017,0.0,0.25,0.0,0.5,0.25,0.3625,1.0,0.2,0.0,0.218241,0.327296,0.327296,1.0,-0.04999999999999999,0.0,-0.281759,0.07729599999999998,-0.03520400000000001
manual_stdi_018,0.0,0.25,0.5,0.0,0.15,0.15,0.303577,0.406047,0.284854,0.309691,0.322772,0.322772,0.303577,0.156047,-0.215146,0.309691,0.172772,0.172772
manual_stdi_019,0.0,0.25,0.0,0.0,0.05,0.05,0.1096,0.140084,0.066446,0.302524,0.184236,0.184236,0.1096,-0.10991600000000001,0.066446,0.302524,0.13423600000000002,0.13423600000000002
manual_stdi_020,0.75,0.75,0.25,0.75,0.65,0.65,0.308019,0.409315,0.090909,0.180179,0.23372,0.23372,-0.441981,-0.340685,-0.15909099999999998,-0.569821,-0.41628,-0.41628
manual_stdi_021,0.0,0.5,0.25,0.5,0.35,0.35,0.139711,0.290055,0.196992,0.424355,0.295094,0.295094,0.139711,-0.209945,-0.053008,-0.07564500000000002,-0.054905999999999955,-0.054905999999999955
manual_stdi_022,0.0,0.5,0.0,0.75,0.4,0.4,0.0,0.597985,0.012562,0.291747,0.238808,0.238808,0.0,0.09798499999999999,0.012562,-0.458253,-0.16119200000000003,-0.16119200000000003
manual_stdi_023,0.0,0.25,0.0,0.25,0.15,0.235,0.147414,0.324902,0.02999,0.353786,0.241976,0.241976,0.147414,0.07490200000000002,0.02999,0.10378599999999999,0.091976,0.00697600000000001
manual_stdi_024,0.0,0.25,0.25,0.5,0.3,0.3,0.0,0.235969,0.315803,0.386402,0.264915,0.264915,0.0,-0.014030999999999988,0.065803,-0.11359799999999998,-0.03508499999999998,-0.03508499999999998
manual_stdi_025,0.25,0.25,0.5,0.5,0.4,0.4,0.240219,0.364963,0.190476,0.2892,0.274812,0.274812,-0.009781000000000012,0.11496299999999998,-0.309524,-0.2108,-0.12518800000000002,-0.12518800000000002
manual_stdi_026,0.0,0.25,0.0,0.25,0.15,0.15,0.284155,0.448251,0.309322,0.373511,0.35775,0.35775,0.284155,0.198251,0.309322,0.12351099999999998,0.20775000000000002,0.20775000000000002
manual_stdi_027,0.25,0.5,0.0,0.5,0.35,0.35,0.041805,0.509375,0.0,0.387205,0.265118,0.265118,-0.208195,0.009375000000000022,0.0,-0.11279499999999998,-0.08488199999999996,-0.08488199999999996
manual_stdi_028,1.0,1.0,0.75,0.75,0.85,0.8725,0.450003,0.765585,0.536945,0.373502,0.499907,0.499907,-0.5499970000000001,-0.23441500000000004,-0.213055,-0.376498,-0.350093,-0.37259300000000006
manual_stdi_029,0.0,0.25,0.75,0.25,0.3,0.37,0.296778,0.059921,0.179434,0.384842,0.261163,0.261163,0.296778,-0.190079,-0.570566,0.13484200000000002,-0.03883700000000001,-0.10883700000000002
manual_stdi_030,0.25,0.5,0.25,0.5,0.4,0.4,0.0,0.143207,0.276431,0.201598,0.164567,0.164567,-0.25,-0.356793,0.026430999999999982,-0.298402,-0.23543300000000003,-0.23543300000000003
manual_stdi_031,0.0,0.5,0.0,0.75,0.4,0.49,0.0,0.187764,0.208623,0.588544,0.314695,0.314695,0.0,-0.312236,0.208623,-0.16145600000000004,-0.08530500000000002,-0.175305
manual_stdi_032,0.0,0.0,0.75,0.0,0.15,0.2775,0.170699,0.075455,0.100574,0.476126,0.259796,0.259796,0.170699,0.075455,-0.6494260000000001,0.476126,0.10979600000000003,-0.017703999999999998
manual_stdi_033,0.5,0.75,0.5,0.5,0.55,0.6175,1.0,0.666641,0.632804,0.477041,0.650705,0.650705,0.5,-0.08335899999999996,0.13280400000000003,-0.022959000000000007,0.10070499999999993,0.03320499999999993
manual_stdi_034,0.0,0.5,0.25,0.75,0.45,0.56,0.0,0.561948,0.218627,0.474965,0.346101,0.346101,0.0,0.061948,-0.03137300000000001,-0.275035,-0.10389900000000002,-0.21389900000000006
manual_stdi_035,0.25,0.5,0.0,0.5,0.35,0.35,0.099349,0.390834,0.0,0.320535,0.226251,0.226251,-0.15065099999999998,-0.10916599999999999,0.0,-0.17946499999999999,-0.12374899999999997,-0.12374899999999997
manual_stdi_036,0.75,0.75,0.5,0.75,0.7,0.7,0.565872,0.783609,0.108126,0.236697,0.3862,0.3862,-0.18412799999999996,0.033609,-0.391874,-0.5133030000000001,-0.31379999999999997,-0.31379999999999997
manual_stdi_037,0.0,0.25,0.0,0.25,0.15,0.15,0.24444,0.420591,0.407436,0.144757,0.272396,0.272396,0.24444,0.170591,0.407436,-0.105243,0.12239600000000003,0.12239600000000003
manual_stdi_038,0.0,0.25,0.0,0.5,0.25,0.325,0.008336,0.356293,0.354292,0.218493,0.231181,0.231181,0.008336,0.10629300000000003,0.354292,-0.281507,-0.018819000000000002,-0.09381900000000001
manual_stdi_039,0.0,0.5,0.25,0.25,0.25,0.25,0.015126,0.739887,0.273496,0.672297,0.474621,0.474621,0.015126,0.23988699999999996,0.023496000000000017,0.42229700000000003,0.22462100000000002,0.22462100000000002
manual_stdi_040,0.0,0.25,0.0,0.25,0.15,0.15,0.448319,0.294666,0.2,0.328843,0.320134,0.320134,0.448319,0.044665999999999983,0.2,0.078843,0.17013399999999998,0.17013399999999998
manual_stdi_041,0.75,0.75,0.25,0.5,0.55,0.55,0.532918,0.73226,0.404498,0.237233,0.428828,0.428828,-0.217082,-0.017739999999999978,0.15449800000000002,-0.262767,-0.12117200000000006,-0.12117200000000006
manual_stdi_042,0.25,1.0,0.5,0.5,0.55,0.55,0.620602,0.796321,0.166154,0.326983,0.447409,0.447409,0.370602,-0.20367900000000005,-0.333846,-0.17301699999999998,-0.10259100000000004,-0.10259100000000004
manual_stdi_043,0.5,0.5,0.75,0.5,0.55,0.595,0.14473,0.374805,0.5,0.615643,0.450164,0.450164,-0.35527,-0.125195,-0.25,0.11564300000000005,-0.09983600000000004,-0.14483599999999996
